Change Component Footprint: Designator=C? Old Footprint=CAP-ALU-SMD-H New Footprint=CAP-ALU-SMD-G
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? 470uF/10V
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header3
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header4
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header2
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header2
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header3
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header5
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header4
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? 1uF/50V
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header3
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header2
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header6
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? CAP-ALU-SMD
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component C? Header3
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 104
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 33Pf
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 33Pf
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 104
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 1nF/2kV
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 104
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 1nF/2kV
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Cx? 104
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component LED? LED
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component LED? LED
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Q? 2SC1815
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component Q? 2SC1815
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 470
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 470
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 510
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 470
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 510
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 510
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 10K
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component R? 330
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? Module DC/DC 10WR3
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
Added Member To Class: ClassName=Smart_Reclyce_Bin Member=Component U? PC817
